Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,0.06666620497030085,0.07940331419045221,0.042313710133931925,0.057734905638257006,0.05709556592738263,0.05720819955778356,0.05431012735190244,0.05900000003438488,0.07529999982290803,0.03350000010074128,0.037099999961035746,0.02550000007508202,0.014199999994636725,0.01109999985494281,0.018000000048156384,0.025899999978172383
Algeria,0.03820009213903597,0.030084039701514076,0.05608988447945418,0.0720160498143616,0.043020104521770186,0.0590766619266363,0.016843348423923654,0.03373015873015883,0.023601088766577183,0.01632082375078392,0.0363410776964912,0.02891933973090488,0.033749525227739996,0.02767296331072444,0.0378918575352416,0.03763484955355434
Andorra,0.011657870874972609,0.060667805832777866,0.06426845170225559,0.12023919727434884,0.0806950427349713,0.07839704519910184,0.04585310593916714,0.0007803936336674422,-0.08594256011072277,-0.03817986019520003,-0.05347977188673847,-0.04802675029706327,-0.017600103383450083,-0.0006351429207670511,,
Angola,0.03012076171767064,0.04220965149011713,-0.06940461552942667,0.05247494539723174,0.10879577475626512,0.18261450323391126,0.2073512488483007,0.22593054297473225,0.13817145809316633,0.02412869692607944,0.034076547944334346,0.03918596984925449,0.05155440545076151,0.06813585769805042,0.048041749621184016,0.030073548361516877
Antigua and Barbuda,0.06084634972363823,-0.05196166360093091,0.010877196999804939,0.06110539493369682,0.058114310269603564,0.06287283716606984,0.12804960799144194,0.09289614427918136,0.0004767643511836006,-0.12035555021448452,-0.07041724722186671,-0.01763272977688246,0.03837469781780345,-0.002000917103302635,0.046027933520115694,0.04126997112645436
Argentina,-0.00788833958794799,-0.04408864558256109,-0.10894532206816365,0.08836852742351375,0.0902968986787902,0.08851541164609489,0.08047227667571888,0.09007809357357854,0.040571595811011996,-0.059186503520618716,0.10125377914458111,0.060041026657885466,-0.010263616159906674,0.02405203699828773,-0.025126169138051102,0.026472424370136194
Armenia,0.05900000000565031,0.09556641505150543,0.13186300530614314,0.1404079505858944,0.10467841855271054,0.13865711258161562,0.13198003509366374,0.13749201963142244,0.06900000001326823,-0.14149988646055223,0.02200000003840663,0.04699999999071314,0.0720000000247536,0.03299999995670411,0.036000000091649165,0.029999999886722195
Australia,0.038678165923335284,0.0193007435532353,0.03852960866936472,0.03068276998127417,0.04145701183156625,0.03203594991947645,0.029777012190886243,0.03750268853997607,0.036976310284389635,0.018119695400105496,0.020064262763298757,0.023729525409491803,0.03634188034188024,0.025698545178636234,0.02609192075131861,0.02421383401377608
Austria,0.03368474158112167,0.013505027929635816,0.016557973461435616,0.0075621028307337745,0.027057089943753,0.02140927158233219,0.03350677459377027,0.03621488840176945,0.015474006272280239,-0.03799249648822578,0.019288035357915234,0.028079608007954615,0.0074582034005619136,0.0012420792703897732,0.006447340132406554,0.009632383272113021
Azerbaijan,0.1109999925349876,0.099000000011638,0.10599999200168653,0.11200000235050589,0.10200000399071496,0.2640000080916325,0.34499999511055623,0.2504899952266937,0.10772420782570524,0.09410653764523302,0.04854339322626511,0.0006592276722066082,0.02200000189574225,0.0579667839555551,0.019999999996156426,0.010999998107671605
"Bahamas, The",0.0414924639178047,0.026256271284256893,0.027046295099452777,-0.012647446254185124,0.008828842242567081,0.03395292671806316,0.025168638469005522,0.014465222061013083,-0.023241723713792184,-0.04180919796334559,0.01547005153424763,0.0061197916561315235,0.03080108707657203,0.00012554928825370126,-0.005272407672030077,-0.01653205450703421
Bahrain,0.05299994792845353,0.024910335678933748,0.03614148287474728,0.06023951197749411,0.06980946982395442,0.06768939710950428,0.0646856767051236,0.0829244382400034,0.06245128340413708,0.025397724672284294,0.04334407091054282,0.01983823254166328,0.03732251521508578,0.05416503713987364,0.043498423319944024,0.028619678252131964
Bangladesh,0.05293294719242181,0.050772877745488776,0.03833123940275196,0.047395674002621346,0.05239532909497613,0.06535944941190208,0.06671868264916658,0.07058636205561997,0.060142819471860065,0.05044684514819475,0.05571683685150419,0.06464317004831766,0.06521579714986436,0.06013691819329181,0.060607372453949315,0.06553194963162512
Barbados,0.04453059521930247,-0.023673387693365466,0.007911230023822435,0.021712538203370046,0.014067644358208176,0.03964974418619116,0.05668590898715076,0.017642844273331182,0.003960221820803245,-0.04041023840647007,0.0026491276069624536,0.007561953314743297,0.0029839949428707158,-0.000721240562286396,0.0006315410963204648,0.009016319449433041
Belarus,0.05800000000030181,0.04725306008880126,0.050452673168266626,0.07043192673263188,0.11449742927253426,0.09399999999652109,0.10000000000248432,0.08600000000984731,0.10200000000274523,0.0020000000005662155,0.07793696037865372,0.05543711461875622,0.017313912231294637,0.010239848044246491,0.01723086003500396,-0.038295705592728435
Belgium,0.03633760002009834,0.008116186555929605,0.017801792443075337,0.0077446486792986935,0.03634846133287062,0.020945973459535416,0.02498997343236553,0.033974737288117174,0.007474466594883822,-0.022852636603233223,0.026952924236181675,0.01796508730242441,0.0013712934446079572,-0.0006228304906971127,0.01646149848559908,0.014760950884039392
Belize,0.1303876212129842,0.0501566300364249,0.05118559418947277,0.09326537906864929,0.04650468004993891,0.025787420356715884,0.04582560332261676,0.011043107512738182,0.032284949699421306,0.007131177514732245,0.033244422413416075,0.02103950828044776,0.038247487467701013,0.013140791667081375,0.04081034021355223,0.022994162319097455
Benin,0.05859992095897981,0.05330410858188683,0.04644470021395608,0.03444044840842819,0.04429629031130955,0.0171157763052161,0.03947013735266469,0.05986515529732994,0.048933939205406674,0.023192269217281458,0.021168501196547895,0.02962750356994648,0.0481028341081815,0.07193096522645037,0.06357520957760321,0.020944579778740202
