wb_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Albania,0.041009326597849505,0.071165764725031,0.2293454437161071,0.1114792726113345,-0.0350559552750449,0.10459696099273441,-0.05569192693213565,0.0008675499603121306,0.0909016581751223,0.024621448952171887,-0.02674872626322322,0.036497250914006685,-0.06590421209470931,-0.03428004383319583,-0.006087054511125678,
Algeria,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,
Argentina,-0.05667443650678694,-0.07553408508356918,-0.30481489364716297,0.23236285125472111,0.17331503900532708,0.06308102584475117,0.1122221937184511,0.04145347166858149,0.0865545448706726,-0.06270922390514388,0.08134578488817312,0.0362885781493969,0.02144420384156498,0.01807759986580182,-0.0024809580276413667,
Armenia,-0.2149700149806124,0.036434875618140516,-0.12287354558584618,0.18774298596276728,0.015615103782969264,0.23722697615813804,0.007195363789682441,0.36653159427150706,-0.09028283920901525,-0.12159925729073884,-0.061946568476156205,0.04329286110697628,0.10314303833531024,-0.022896744903873723,-0.04699895880205829,
,,,,,,,,,,,,,,,,
Australia,-0.01848675399756461,0.023501881359484278,0.07011839038851164,0.04951685600796285,0.046970398487020226,-0.0022048465828646835,0.048944001537436055,0.04174032359430058,-0.021086697427472822,0.05905126264834437,-0.0072974940590793125,0.0162146276837678,0.04779407700845306,-0.05660202512099244,-0.009440382703830186,
Austria,0.008678904150736466,0.027837913448445883,0.007053506370371387,0.024572785399060493,0.030828785877332177,0.02319599522950977,0.01850793345548607,-0.04512668458010349,-0.016362808822793062,-0.08027795425359407,0.057070669962054454,0.029161283740284816,-0.0545210485992389,-0.018698254249233215,-0.03477657797008582,
Azerbaijan,-0.03227088904732667,0.010787349061616824,0.12844836746093224,0.1335863454757651,0.07250257059757725,-0.034788379463334906,0.15961626048866284,-0.20942999433349563,0.11914481575057301,-0.09767359350266225,-0.04032670023647711,0.09154643979867982,0.0915931420080105,0.04012643244814362,0.05863171631800701,
"Bahamas, The",,,,,,,,,,,,,,,,
Bahrain,0.2213515864457012,-0.15294573357082974,0.10494602446047074,-0.017116131718518335,-0.012877774416774068,0.16673698238690804,-0.10427714610609029,0.3548173572250384,0.13251976078468108,0.0428127154272413,0.07016161633029916,-0.10904065671232666,-0.03901669249006867,0.07631494656032434,-0.002594928830511267,
Bangladesh,0.13047528569713407,0.22207520810171433,-0.06167275330264499,0.2479563472497428,0.029451607799978907,0.03707341740521719,0.0672923090448232,0.06583833453739185,0.05044343709978305,0.0802216182213551,0.1488426121301536,0.07519431412668554,0.03280793415499339,0.08075450322987221,0.026490557487655275,
Barbados,,,,,,,,,,,,,,,,
