wb_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,-0.05803571428571408,-0.17535545023696686,0.38505747126436773,0.16182572614107893,-0.07500000000000007,0.3976833976833978,0.24309392265193353,0.37777777777777777,0.8548387096774193,0.6069565217391306,0.25,0.44632034632034645,0.669560011972463,0.039799211186805294,0.06697066945301389,0.014677815692549112
Albania,0.01228501228501222,0.066747572815534,0.16382252559726962,0.14467253176930606,-0.029888983774551736,0.021126760563380254,-0.08362068965517244,0.007525870178739513,0.11391223155929042,0.0008382229673091768,0.05025125628140703,0.1395534290271132,-0.10076976906927926,0.021789883268482635,-0.003732022684939329,0.012003278608264889
Algeria,-0.045459973727160485,-0.04136953167354773,0.07782659764214572,0.018485631256054402,-0.03285250059443612,0.19704978488014735,-0.055658246046416004,0.08235464694794836,0.007334226389819287,0.10093420658931485,-0.01857164426996838,0.016861538461538483,0.0726216412490921,0.03252651771609116,0.07258400607665894,0.042385604678254474
Andorra,0.021428571428571352,0.0,0.013986013986013734,0.006896551724137945,0.0547945205479452,0.01948051948051943,-0.05095541401273895,-0.01342281879194629,0.0,-0.04081632653061229,0.0,-0.049645390070921835,0.0,0.0,0.0071037601793932925,0.007375926154006285
Angola,0.04205046055266326,0.019984627209838512,0.3014318010550112,-0.28430804863925874,1.0732200647249193,0.019317073170731724,0.16232771822358338,0.12961133069828712,0.02216066481994461,0.08101554699757507,0.045520517218630374,0.044169611307420586,0.10079767947788221,-0.027997364953886605,-0.0005451407314449597,0.016048384010259875
,0.2142857142857144,0.5294117647058822,0.0,0.07692307692307687,0.17857142857142883,0.06060606060606055,0.1142857142857141,0.0512820512820511,0.0,-0.024390243902438935,0.02499999999999991,-0.04878048780487798,0.0,-0.0512820512820511,0.024332195362454012,0.022473020575586977
Antigua and Barbuda,-0.010526315789473717,0.0,0.05319148936170226,0.07070707070707072,0.04716981132075482,0.009009009009008917,0.03571428571428581,0.10344827586206917,0.0234375,0.06106870229007644,0.02877697841726623,-0.020979020979021046,0.021428571428571352,0.0,0.024332195362454012,0.022473020575586533
Argentina,-0.03298156325624335,-0.05920899873584262,-0.06735040859979169,0.08297559541311395,0.16678431798436133,0.028691099476439774,0.08220231632283759,-0.0014840516700805884,0.07952523497519404,-0.04836145045569129,0.04421713261064464,0.01976739647972514,0.0037888210643144404,-0.013210820290905034,0.006122731812125304,0.013803204223441723
Armenia,0.14963503649635013,0.022222222222222143,-0.14078674948240155,0.12650602409638556,0.06310160427807499,0.19416498993963782,0.006739679865206405,0.15564853556485359,0.09775524981897177,-0.21569920844327173,-0.03280067283431465,0.1660869565217391,0.15809097688292328,-0.0347714101738571,-0.0059887493844333894,0.023554537444049783
,0.32704402515723285,0.01579778830963674,0.0062208398133747345,0.018547140649149974,0.0015174506828528056,0.031818181818181746,0.0,0.0381791483113072,-0.032531824611032545,0.005847953216374213,-0.026162790697674465,-0.007462686567164201,-0.46616541353383467,-0.3267605633802817,0.024332195362454012,0.022473020575586755
Australia,0.017955415932855656,0.022201258055680517,0.011765745331966171,0.0179200924607692,0.03576334472216125,0.010646569184282084,0.014401555549579559,0.019641224368415422,0.013593658492165872,0.010416271045577075,-0.005502495249324779,-0.006143423852283614,0.006830026334106343,-0.02349270352077404,-0.009541084823341262,0.016826373688693552
Austria,0.009360468494134633,0.060727928862149394,0.025990526906463085,0.08176405308478762,0.00467860843409329,0.015301949190264175,-0.033340875679415016,-0.03466357953347088,-0.0027179219801458654,-0.08618676041410545,0.07164458832118137,-0.030395747665266537,-0.03737543427338563,0.003817837497612775,-0.05436600401516145,0.03548611564760451
Azerbaijan,0.032593353009110926,-0.02497825276500565,0.02931430028039772,0.033803863298662584,0.04814947897951849,0.070049137241458,0.14064502349423336,-0.22104671847205304,0.163701923076923,-0.10142532534600279,-0.03839080459770128,0.09024623475974192,0.06304133318715044,0.0024752475247524774,0.046797597553945414,0.028232237328584597
"Bahamas, The",-0.004376367614879695,-0.05934065934065935,0.004672897196261738,-0.037209302325581395,0.13526570048309172,0.010638297872340496,-0.04421052631578948,0.015418502202643403,-0.11496746203904562,0.09803921568627438,0.5000000000000002,-0.22619047619047616,0.005769230769230749,0.6214149139579348,0.023268749642987308,0.022433832007471732
Bahrain,0.03459503459503477,-0.25295043273013385,0.1271721958925751,0.04905395935529078,0.06323758628367848,0.09696335078534024,-0.01966399389079798,0.41752677702044805,0.10935568072537438,-0.07789473684210513,0.0671501477303249,0.007802668009061264,-0.009490509490509558,0.09871406959152784,-0.02435966109397847,0.06371020872082056
Bangladesh,0.10433013658820078,0.16460526315789492,0.038526720144616444,0.05831157528285469,0.05694901315789469,0.04707255397782517,0.10291658926249325,0.019875357924877823,0.11601981833195718,0.08605253422123549,0.11459326883771626,0.05965770171149165,0.06149053991693587,0.021791109661993158,0.04091818809496117,0.06609932061818746
Barbados,-0.018181818181818188,0.02777777777777768,0.006006006006006093,0.032835820895522394,0.02023121387283222,0.04532577903682733,0.013550135501354976,-0.005347593582887611,0.18817204301075252,-0.002262443438914019,-0.0861678004535148,0.03473945409429291,-0.0383693045563549,-0.014962593516209544,0.023820159685774334,0.020478678610928336
Belarus,-0.041432492484642536,-0.019089173711480778,-0.0067417292187935685,0.021482051640892896,0.08645019865735026,0.0173392181588905,0.04908583823985113,-0.024930584273645695,0.04265374129051813,-0.0387006798768087,0.032883999274617715,0.01591853455843628,-0.006797626591393602,0.008642190128182792,0.01054775121577367,-0.055725652508861634
