wb_name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Belize,0.095,0.113,0.11199999999999999,0.1,0.105,0.10800000000000001,0.113,0.118,0.125,0.105,0.118,0.147,0.163,0.131,0.141,0.1444904039462807,0.14768926471835567
Benin,0.426,0.436,0.495,0.5670000000000001,0.642,0.684,0.653,1.056,1.226,1.203,1.271,1.388,1.4469999999999998,1.503,1.581,1.5718401803893025,1.6030802503732065
Bermuda,0.128,0.127,0.127,0.135,0.128,0.124,0.10800000000000001,0.14200000000000002,0.19899999999999998,0.177,0.124,0.156,0.10800000000000001,0.121,0.099,0.10140888734088296,0.10368785135264197
Bhutan,0.105,0.10800000000000001,0.105,0.114,0.103,0.084,0.10800000000000001,0.107,0.107,0.115,0.106,0.133,0.2,0.223,0.24100000000000002,0.25232960085739703,0.25520007014428564
Bosnia and Herzegovina,2.83,3.76,3.6439999999999997,3.9,3.951,4.257,4.4190000000000005,4.79,4.814,5.496,5.646,5.8020000000000005,6.513999999999999,6.07,5.974,5.630224224158512,5.911605588715769
Botswana,0.862,1.031,1.05,1.085,1.044,1.063,1.117,1.128,1.1540000000000001,1.229,1.071,1.308,1.2,1.213,1.479,1.6968808907484558,1.6823845030282427
Brazil,87.31200000000001,89.44200000000002,92.01899999999999,90.61,87.70700000000002,92.126,94.712,94.81,99.04899999999999,105.708,100.12200000000001,114.46799999999999,119.829,128.178,137.35399999999998,143.8261625918664,140.51990887013875
Brunei Darussalam,1.0659999999999998,1.285,1.229,1.194,1.252,1.3630000000000002,1.365,1.3259999999999998,2.295,2.487,2.144,2.237,2.6439999999999997,2.6319999999999997,2.123,2.342512750469424,2.4907974200909417
Bulgaria,12.526568278062275,12.292802755262391,13.307175134679015,12.547142478671267,13.699927647243486,13.394386294562715,13.674991094938257,14.01820022025064,15.040819743101805,14.625176448990347,12.3927131772867,12.98785903254886,14.444829301578679,13.112764521700068,11.593870463587475,12.304291858937965,13.012167836183085
Burkina Faso,0.254,0.28400000000000003,0.272,0.27399999999999997,0.294,0.301,0.307,0.371,0.449,0.523,0.527,0.535,0.603,0.7170000000000001,0.8340000000000001,0.8290175332809245,0.8460105108298058
