ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AGO,0.9748740104275897,1.04360650441087,0.27924792509168994,1.6884850374013194,-1.0456103883630248,1.3230672824053529,1.0563882061530796,1.1633552662325486,1.2289596151759579,0.8842715002772037,0.9755608793639564,0.9883018880267219,0.8963168875094599,1.1941740697782923,1.0971999702197863,1.0275676968498573
ALB,1.107943390223522,1.0200115042541145,0.7500504302117931,0.8177720927677533,1.1756756278474711,1.0709542540544872,1.2804030843185759,1.1025042333704864,0.9141979455109935,1.065295473797375,0.9718331657531752,0.7683345296452683,1.2313704688480753,0.978378365471801,1.0435312218747002,1.027482557824123
AND,0.9802087873740531,1.1213356116655557,1.0996660159681164,1.2258560552571505,1.0473793981967936,1.1163058362709486,1.1959535039007123,1.0284168999335586,0.8281148797785545,1.003714571030204,0.8930404562265231,1.0008529727953805,0.9647997932330998,0.9987297141584659,,
ARE,0.29730003565390456,1.227444398674121,1.382222821559899,0.6303017968797497,1.0658193150962405,1.0444980709731204,1.0571594836525173,0.8709163443313656,0.7383309583877004,0.763884673776676,1.1185044624949902,1.142947406981339,0.9379373444348812,1.154413015425358,1.0584325068657283,0.9935857931615082
ARG,1.049926277565484,1.0276302617460003,0.9094726611069291,1.0034534328420535,0.8319650547266128,1.117109019858574,0.9899249131632463,1.183257971032524,0.9188662559814466,0.975487548712487,1.1095961412881081,1.0793604055773245,0.9719340125566605,1.0748434617168,0.9376560388947456,1.0249730360135183
ARM,0.8099014598644703,1.144564687546311,1.563864073471122,1.0100414013988743,1.0765482524053032,0.8620618884144869,1.2495912072717847,0.9422865366256526,0.9357443881497868,1.1178772304610851,1.1103229605490572,0.7540199999829688,0.8164354959441769,1.1366902767953542,1.0841930939305537,1.0121842887646915
ATG,1.1433858189180517,0.8960766727981382,0.9147928409677051,0.9764760649730918,1.0191477568472445,1.1071612343576707,1.1800974442689036,0.969285790874309,0.9540673545378864,0.6445014522558847,0.803637944325241,1.0063226649963704,1.0330699378252255,0.9959981657933947,1.042271515644782,1.036666440191457
AUS,1.0407510174242858,0.9937704702068176,1.0530743971114531,1.024975516965993,1.009904692813527,1.0424376885131867,1.0303220779874458,1.0349863296230888,1.0462626602501413,1.0152181090505061,1.0512439195357832,1.059891679055955,1.058775492015782,1.0989862257016176,1.0715149563784119,1.0143674896306132
AUT,1.0483332412116708,0.9047340657595806,0.9807045426551791,0.8509777913146076,1.0446303734901066,1.0118870411981826,1.1348124457525197,1.143012273534891,1.0364259136466205,1.0931140776593953,0.8939050107207255,1.1178042120259917,1.0899460289388903,0.9948437414887404,1.1219772044146616,0.9479507193822607
AZE,1.153195417111052,1.2504293525773136,1.1502640678473204,1.1526062453347803,1.1027898029743313,1.3694087689017922,1.360187410814811,1.9984434188524343,0.8704099095145584,1.4006085121803256,1.1757320155717916,0.8207664930096633,0.9165304279675562,1.1108395907231015,0.945468852933523,0.9652249670009843
BDI,0.9573315484083157,1.6293798841546658,1.015913773501887,1.4553302355115187,0.631142114696325,1.464444444952949,0.6675831682759755,1.0957166391298654,1.0607568621174712,1.0693685084182922,0.8405804702842623,0.8021888923569795,0.7403550344001893,1.0121691157181814,1.0394100081112108,0.8989540902789449
BEL,1.038129581215157,1.0268176612804556,1.0297288192866592,0.9914503301227539,1.0548683527510017,1.097230011853641,1.0952714097384413,1.1393214912732206,0.9752305590433156,1.16915562669962,0.9240531323829245,1.1987328160473985,1.0792939825361922,0.9826466395876675,1.1403276416147312,0.9537473338236565
BEN,1.0688759001114105,0.8287528446721882,0.7952247167604275,0.7997750173977525,0.9548535709760846,1.1256505424722185,-0.17972199995489113,0.7881232306699005,1.1363062802066732,0.932022880656695,0.8562813653828707,0.9729812155616318,1.0169425315819065,1.036336570980071,1.1391061286256923,1.0017232120943975
BFA,0.7980344736460053,1.2195694273129565,1.0720341301476748,1.004368185046593,1.040884135886214,1.1316435055248102,0.6950891606666475,0.6807256980273737,0.8042464694865208,1.0437173800147,1.1372837977566643,0.867940429664623,0.7387449557028897,0.7253404640623599,1.0959173322448532,1.0381454833500507
BGD,0.8916831195978406,0.763977746272608,0.9981322615830049,0.9754044810268478,0.9879087695881209,1.0334971546577512,0.9207377275150077,1.1000190790510138,0.8812682432907089,0.9244475429854502,0.8758623615634643,1.0061144737172243,1.0034403598879984,1.075381166883513,1.0368984248519642,0.9945336406774397
BGR,1.1384772656072095,0.9164199701124587,1.2380286659567645,0.9131327821605917,1.1771781926336655,1.1013090518897488,1.0831726538361215,1.0020090576581708,1.1697693228742427,1.2144546877956817,0.9050172485319682,0.8117932989670452,1.1850822322186432,1.249906933616557,0.9032115292296407,0.9552060720473367
BHR,1.0349762916347176,1.5620226170075742,0.8133423822243488,1.01941611867228,1.0087291847091417,0.9348887018919511,1.169971319943395,0.29617214900453087,0.8993618027486927,1.2085632721085147,0.9494772855955592,1.023916337922795,1.0939802590960492,0.9055550838510384,1.1367757756780412,0.9279955733876567
BHS,1.0919192493407204,1.1727519256996675,1.0446204112498425,1.0486531094914744,0.7459320439885552,1.0462680563433808,1.1398710483229566,0.9978704076585299,1.1807794346617198,0.7244021136775587,0.023205077301371002,1.466004774282102,1.0498860140353947,-0.24265674753951988,0.9430403677041015,0.9224391043045372
BIH,0.4346819861631317,1.151059564363694,0.9617716846811818,1.0533230781822551,0.9623781278142937,1.095721728371326,0.9351427092593046,1.104267225621788,0.8185242405459477,0.8888004861370425,0.9598727296438345,0.7716177817214949,1.1170219477473213,1.079893464685799,1.1373507336597175,0.9588572868131449
BLR,1.2012680695340106,1.1335864894729981,1.1147289430349854,1.09638672789624,1.0461961357240015,1.1516916771683858,1.0969197397011594,1.2240051988147649,1.1143418358127042,1.0814787611145251,1.0875430432595143,1.0781546824957613,1.048340771155561,1.0031068211184453,1.0131844708135775,1.0327258406498243
