ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AGO,,,,,,,,,,,,,,,,
ALB,1.0485798205722365,1.010824301354777,0.6162320762097083,0.8860750207690081,1.1863045820104088,0.8992386733124882,1.2230287442122334,1.1162137147004572,0.9619517884510826,1.0169322837547605,1.128689830191841,0.9770748184211032,1.1611442639900835,1.0911405958578533,1.0482836761000578,
AND,,,,,,,,,,,,,,,,
ARE,0.6775991136341954,0.6468544934391273,1.2174885138752949,0.4217228926288256,0.9084126009890569,0.8382284514726192,1.118689168868769,0.6557164581343474,0.6565784267303723,1.2930042143915936,1.050208501582361,0.9987947202962225,1.074981588281016,1.0976422788802684,1.0579592987322033,
ARG,1.097125126636557,1.0595606834953637,1.3585309863984354,0.6914777893442766,0.8183139088303517,1.0452851286329814,0.9274693904924682,1.093515194110082,0.9045224458705797,1.0033339010676132,1.0315794203754063,1.0453260935289324,0.9368044550741413,1.0115140711641593,0.9546472408081537,
ARM,1.5606232608575963,1.1147811284210567,1.5256755767775494,0.8789693213503458,1.1764920651699449,0.7699670653064,1.2486196982424886,0.4915256815647161,1.3247951943511866,0.9429924605600463,1.1692559615379803,1.0053795132958478,0.9302876246161912,1.1125490823019921,1.1676898803085964,
ATG,,,,,,,,,,,,,,,,
AUS,1.1150448735803016,0.9911441206023641,0.934120802419511,0.9608125136435345,0.9870259743232823,1.0685522273593908,0.9602086151764494,0.9899593555360361,1.116905723690676,0.9170668746113426,1.054869932483071,1.0146450300318206,0.9753586800391626,1.1660557302990315,1.071310924627668,
AUT,1.0497193282172455,0.9709582771637558,1.0188921424108377,0.9657928129333213,0.9916224709005019,0.9959299433441537,1.029377541122079,1.1643174038097561,1.0639268283965029,1.0815209556356749,0.9233339496915935,0.9970178111189036,1.1243651330696667,1.0399038917532413,1.0826720526317992,
AZE,1.2901238316079793,1.1753573543428169,0.9414877231580201,0.9418656427422004,1.0515996042959854,1.60676090756975,1.315699860155633,1.9723000974013025,0.9643240032569944,1.392751985999694,1.1796977817925816,0.8181652258006463,0.8587986704776502,1.0333547027741943,0.921563933030164,
BDI,,,,,,,,,,,,,,,,
BEL,0.9958159485567185,1.0479667810294218,0.9276051562866482,1.0501943462222851,0.8324037033806986,1.0680898082632506,0.9509211617256443,1.0383043010293849,1.1557328335240635,1.2491177001935385,0.885989481883865,0.9186407094010555,1.2101656205653843,1.0312436894775356,1.0926225020956484,
BEN,0.6892079290997577,0.8243281107105429,0.8124999723001701,0.7531370431827455,1.1687683316265762,0.32070423189052133,0.3029307858172142,1.091913980866033,0.9369085647672027,1.1426101179602572,0.9780842564915491,0.5675727951812302,1.3293016952916086,1.0511204074416607,1.309375330642317,
BFA,1.4975386340044807,1.0119935390786328,0.931828642959065,0.781760949238312,0.8315488539292628,1.79688022106092,0.8225161685719057,0.5683741198926302,0.8172544362424674,0.8151152381547045,1.1822583616757847,1.1831876855741479,0.9811723427668169,0.2554300792103015,1.074397643738962,
BGD,0.8380088815828529,0.6461199418962966,1.2023719784822642,0.5871265953046275,1.0443443159069383,1.0541489658639471,0.9943630929967956,1.0048487665176609,1.0163649542131217,0.936403526301729,0.8054554099060937,0.9740369130085063,1.0626761304109837,0.9539085029723644,1.066628106848421,
BGR,0.9494088123905954,0.9992999585514963,1.2325615848735127,0.948476275758152,1.1707933034136144,1.042483072568613,0.9676160217030835,1.0987274720260258,1.0861541615508772,1.259361935787655,1.0889181459733446,0.9018527241684282,1.0697277627310786,1.2704483445699624,0.9203535615469027,
BHR,0.6515651004100019,1.3595220680634372,0.8585980118827422,1.1557423548136911,1.1662734790860045,0.7906185036315646,1.3446708833831793,0.4267911320042411,0.8515870161014994,0.9640826729311921,0.9433238190870685,1.2599209524123345,1.1541346165094115,0.9515665792443312,1.0922995796136652,
BHS,,,,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,,,
BLR,1.189984018220005,1.2427943125047693,1.0328021101818756,1.1786374508467732,1.1085066800116612,1.3345883609759996,0.9389748200497384,1.0934450143908196,1.0094222532566703,1.571106524757371,0.8985291556474188,1.3734733574806377,0.5191686088513215,0.9381407281283042,0.9930082983393748,
BLZ,,,,,,,,,,,,,,,,
BMU,,,,,,,,,,,,,,,,
BOL,1.281303449587868,1.139431277640976,0.9866670216544463,0.5794034583096928,1.3080941153647982,1.2404479643897017,0.6662921182175662,1.3927046706171538,0.910093529766725,0.7900951878497412,0.9851925364372227,0.9320298228549301,0.8984092709728652,0.9970005051113303,1.0358915045236585,
BRA,0.9953087195660644,1.0519843623786476,1.155524371917775,1.090934849041588,1.0300858786619191,0.9382571625839937,1.0122675520888877,0.9593126533192516,0.8550370477744053,1.160230650138182,0.7315269317910895,0.9708219380074303,0.9378449570216952,0.938020716989597,0.9319764955250169,
BRB,,,,,,,,,,,,,,,,
BRN,1.0581406514174678,1.1062605841756787,1.0412794711429145,0.0070402628114844545,1.103955753756343,1.004355803118291,0.9341847696361052,0.05496578042135414,0.9118236103733506,1.4258169944502326,0.991834038105364,0.692600923227822,0.8171014317611082,0.8573668604273823,0.9401459988802675,
BTN,,,,,,,,,,,,,,,,
BWA,-2.452227396716176,1.170534217464413,2.340724714950562,-6.005551045664453,1.6921847104252543,1.2969353361262141,1.2931159599948054,0.6080951070229702,0.7013822894204045,1.8883086029076273,1.048017894715166,1.2998813929198327,0.9328328163392784,-2.61796024359955,0.9855830571185853,
CAF,,,,,,,,,,,,,,,,
